"A inicios de enero de 2023, la ministra de Justicia Marcela Ríos renuncia a su cargo por presiones opositoras",Verdadero,"{'input': 'afirmacion: A inicios de enero de 2023, la ministra de Justicia Marcela Ríos renuncia a su cargo por presiones opositoras', 'output': 'Verdadero'}"
El ministro de Justicia Luis Cordero asume su cargo en enero del 2023,Verdadero,"{'input': 'afirmacion: El ministro de Justicia Luis Cordero asume su cargo en enero del 2023', 'output': 'Verdadero'}"
El presidente Boric indulto a 12 condenados por delitos cometidos en el estallido social del 2019,Verdadero,"{'input': 'afirmacion: El presidente Boric indulto a 12 condenados por delitos cometidos en el estallido social del 2019', 'output': 'Verdadero'}"
Marcela Ríos se libró de una acusación constitucional por el caso de los indultos que le costó el cargo de ministra de Justicia,Verdadero,"{'input': 'afirmacion: Marcela Ríos se libró de una acusación constitucional por el caso de los indultos que le costó el cargo de ministra de Justicia', 'output': 'No lo Sé'}"
Gabriel Boric Font es un político Chileno que desde marzo de 2022 es el presidente de Chile,Verdadero,"{'input': 'afirmacion: Gabriel Boric Font es un político Chileno que desde marzo de 2022 es el presidente de Chile', 'output': 'Verdadero'}"
"Marcela Alejandra Ríos Tobar es una socióloga, politóloga y política chilena, militante de Convergencia Social (CS)",Verdadero,"{'input': 'afirmacion: Marcela Alejandra Ríos Tobar es una socióloga, politóloga y política chilena, militante de Convergencia Social (CS)', 'output': 'No lo Sé'}"
"En enero del 2023 el presidente Gabriel Boric alcanzó un histórico 70% de desaprobación, según la encuesta Cadem",Verdadero,"{'input': 'afirmacion: En enero del 2023 el presidente Gabriel Boric alcanzó un histórico 70% de desaprobación, según la encuesta Cadem', 'output': 'False'}"
El Proceso Constitucional 2023 en Chile es el procedimiento para redactar una nueva propuesta de Constitución Política de la República de Chile,Verdadero,"{'input': 'afirmacion: El Proceso Constitucional 2023 en Chile es el procedimiento para redactar una nueva propuesta de Constitución Política de la República de Chile', 'output': 'Verdadero'}"
El Proceso Constitucional 2023 se lleva a cabo tras el triunfo de la opción «Apruebo» en el plebiscito constitucional de 2022,Falso,"{'input': 'afirmacion: El Proceso Constitucional 2023 se lleva a cabo tras el triunfo de la opción «Apruebo» en el plebiscito constitucional de 2022', 'output': 'False'}"
"El proceso constitucional en Chile en 2023 será llevado a cabo por tres cuerpos: un Consejo Constitucional, una Comisión de Expertos y un Comité Técnico de Admisibilidad.",Verdadero,"{'input': 'afirmacion: El proceso constitucional en Chile en 2023 será llevado a cabo por tres cuerpos: un Consejo Constitucional, una Comisión de Expertos y un Comité Técnico de Admisibilidad.', 'output': 'No lo Sé'}"
